load_number,from_stop,to_stop,from_address,to_address
15167,DEPOT,1,"PUNCHBOWL, NSW 2196","8 IRIS STREET, GUILDFORD WEST, NSW 2161"
15167,1,2,"8 IRIS STREET, GUILDFORD WEST, NSW 2161","41 NOEL STREET, MARAYONG, NSW 2148"
15184,DEPOT,1,"PUNCHBOWL, NSW 2196","8-10 PRITCHARD STREET EAST, WENTWORTHVILLE, NSW 2145"
15184,1,2,"8-10 PRITCHARD STREET EAST, WENTWORTHVILLE, NSW 2145","LOT 732 (42) PARKLANDS ROAD, MOUNT COLAH, NSW 2079"
15186,DEPOT,1,"PUNCHBOWL, NSW 2196","112 GARDENIA AVENUE, BANKSTOWN, NSW 2200"
15186,1,2,"112 GARDENIA AVENUE, BANKSTOWN, NSW 2200","324 CONCORD ROAD, CONCORD WEST, NSW 2138"
15186,2,3,"324 CONCORD ROAD, CONCORD WEST, NSW 2138","12 MARGUERETTE STREET, ERMINGTON, NSW 2115"
15187,DEPOT,1,"PUNCHBOWL, NSW 2196","23 HILLCREST AVENUE, MOOREBANK, NSW 2170"
15187,1,2,"23 HILLCREST AVENUE, MOOREBANK, NSW 2170","32 BUTCHERBIRD LANE, AUSTRAL, NSW 2179"
15192,DEPOT,1,"PUNCHBOWL, NSW 2196","21 TEMPLETON CRESCENT, MOOREBANK, NSW 2170"
15192,1,2,"21 TEMPLETON CRESCENT, MOOREBANK, NSW 2170","6 THOMPSON AVENUE, MOOREBANK, NSW 2170"
15197,DEPOT,1,"PUNCHBOWL, NSW 2196","LOT 98 (88) HOLT ROAD, SYLVANIA, NSW 2224"
15197,1,2,"LOT 98 (88) HOLT ROAD, SYLVANIA, NSW 2224","29 BOLARO AVENUE, GYMEA, NSW 2227"
15198,DEPOT,1,"PUNCHBOWL, NSW 2196","7 ARCHIBALD STREET, PADSTOW, NSW 2211"
15198,1,2,"7 ARCHIBALD STREET, PADSTOW, NSW 2211","135 Cabarita Rd, CABARITA, NSW 2137"
15200,DEPOT,1,"PUNCHBOWL, NSW 2196","LOT 27 AUGER STREET, AUSTRAL, NSW 2179"
